iter	Passed	Remaining
0	61	61817
1	63	31920
2	65	21878
3	68	16981
4	70	13979
5	72	12015
6	74	10558
7	76	9460
8	78	8626
9	80	7931
10	82	7374
11	84	6919
12	86	6542
13	87	6193
14	90	5910
15	92	5660
16	94	5439
17	95	5220
18	97	5047
19	99	4873
20	101	4724
21	103	4582
22	105	4462
23	107	4353
24	109	4256
25	110	4154
26	112	4070
27	114	3982
28	116	3905
29	118	3830
30	120	3759
31	122	3696
32	123	3633
33	125	3576
34	127	3519
35	129	3475
36	131	3430
37	133	3388
38	135	3343
39	137	3298
40	138	3247
41	140	3205
42	142	3167
43	144	3134
44	146	3101
45	147	3055
46	149	3021
47	150	2991
48	152	2967
49	155	2946
50	157	2921
51	158	2892
52	160	2867
53	162	2845
54	164	2821
55	166	2810
56	168	2789
57	170	2766
58	172	2747
59	173	2725
60	177	2724
61	179	2709
62	180	2691
63	182	2672
64	185	2661
65	186	2643
66	188	2631
67	190	2617
68	193	2604
69	195	2591
70	196	2575
71	198	2560
72	200	2545
73	202	2535
74	204	2527
75	225	2745
76	235	2818
77	237	2804
78	239	2791
79	245	2823
80	250	2836
81	251	2818
82	253	2798
83	255	2783
84	257	2769
85	259	2758
86	261	2743
87	263	2731
88	265	2717
89	267	2709
90	270	2698
91	271	2681
92	273	2667
93	275	2655
94	277	2641
95	279	2631
96	281	2619
97	283	2606
98	284	2593
99	286	2582
100	289	2573
101	290	2560
102	292	2550
103	294	2538
104	296	2525
105	298	2513
106	299	2502
107	301	2492
108	303	2480
109	304	2465
110	306	2456
111	308	2445
112	310	2435
113	312	2425
114	313	2414
115	315	2406
116	317	2395
117	319	2387
118	321	2379
119	323	2375
120	326	2370
121	327	2359
122	329	2350
123	331	2341
124	333	2332
125	334	2322
126	336	2313
127	338	2306
128	340	2297
129	342	2289
130	343	2279
131	345	2269
132	346	2260
133	349	2255
134	350	2247
135	352	2240
136	354	2232
137	356	2226
138	358	2218
139	359	2208
140	361	2200
141	363	2194
142	365	2189
143	367	2182
144	369	2176
145	370	2169
146	372	2161
147	374	2155
148	376	2150
149	378	2142
150	379	2135
151	381	2127
152	383	2120
153	384	2113
154	386	2106
155	387	2099
156	389	2092
157	391	2086
158	393	2080
159	396	2080
160	398	2075
161	399	2068
162	402	2064
163	404	2061
164	405	2052
165	407	2046
166	409	2040
167	410	2034
168	412	2028
169	414	2022
170	415	2016
171	417	2010
172	419	2003
173	420	1998
174	422	1992
175	424	1986
176	426	1980
177	427	1976
178	429	1969
179	431	1963
180	433	1959
181	435	1955
182	437	1953
183	439	1949
184	441	1944
185	442	1937
186	444	1932
187	445	1926
188	447	1920
189	449	1914
190	451	1910
191	452	1903
192	453	1897
193	455	1893
194	457	1889
195	459	1883
196	461	1879
197	462	1874
198	464	1870
199	466	1867
200	468	1862
201	470	1857
202	471	1852
203	474	1849
204	475	1844
205	477	1838
206	479	1835
207	481	1831
208	482	1827
209	484	1822
210	486	1817
211	487	1813
212	490	1810
213	491	1806
214	493	1802
215	495	1798
216	497	1793
217	499	1791
218	500	1786
219	502	1781
220	504	1778
221	506	1773
222	507	1769
223	509	1764
224	511	1761
225	512	1756
226	514	1751
227	516	1748
228	517	1743
229	519	1738
230	521	1735
231	523	1732
232	525	1728
233	526	1724
234	528	1720
235	529	1715
236	531	1710
237	533	1706
238	534	1702
239	536	1698
240	537	1693
241	539	1689
242	541	1685
243	542	1681
244	544	1678
245	545	1673
246	547	1668
247	549	1665
248	550	1661
249	552	1658
250	554	1653
251	556	1651
252	558	1647
253	559	1643
254	561	1640
255	563	1636
256	564	1633
257	566	1629
258	568	1626
259	569	1621
260	571	1617
261	572	1613
262	574	1610
263	576	1606
264	578	1603
265	579	1599
266	581	1596
267	583	1593
268	585	1590
269	587	1587
270	588	1584
271	591	1582
272	592	1578
273	594	1575
274	596	1572
275	598	1568
276	599	1565
277	601	1561
278	602	1558
279	604	1554
280	606	1550
281	607	1547
282	611	1548
283	616	1554
284	637	1598
285	642	1603
286	646	1606
287	649	1604
288	654	1610
289	661	1619
290	663	1617
291	665	1614
292	669	1614
293	672	1614
294	673	1610
295	675	1606
296	676	1601
297	679	1599
298	683	1602
299	686	1602
300	690	1602
301	692	1600
302	695	1599
303	698	1598
304	700	1596
305	703	1595
306	705	1593
307	708	1592
308	711	1590
309	714	1589
310	716	1587
311	718	1584
312	721	1582
313	723	1580
314	725	1578
315	727	1574
316	729	1572
317	731	1569
318	733	1565
319	735	1562
320	737	1559
321	739	1556
322	741	1553
323	743	1550
324	746	1549
325	747	1546
326	750	1544
327	752	1541
328	754	1538
329	756	1535
330	758	1532
331	760	1531
332	762	1527
333	765	1525
334	767	1522
335	770	1521
336	772	1519
337	773	1515
338	776	1513
339	779	1513
340	781	1511
341	784	1508
342	786	1506
343	788	1504
344	791	1502
345	794	1500
346	796	1498
347	798	1495
348	800	1493
349	802	1490
350	804	1486
351	805	1483
352	808	1482
353	810	1479
354	812	1476
355	815	1475
356	817	1473
357	819	1470
358	821	1467
359	823	1464
360	825	1461
361	827	1458
362	829	1455
363	832	1454
364	834	1452
365	837	1450
366	839	1447
367	841	1445
368	843	1442
369	845	1439
370	847	1436
371	849	1433
372	851	1430
373	853	1428
374	854	1424
375	856	1421
376	858	1419
377	860	1416
378	862	1413
379	864	1410
380	867	1408
381	869	1406
382	871	1403
383	873	1400
384	875	1397
385	876	1394
386	878	1391
387	880	1388
388	881	1385
389	883	1382
390	885	1379
391	887	1376
392	888	1372
393	890	1369
394	892	1366
395	893	1363
396	895	1360
397	897	1357
398	900	1355
399	901	1351
400	902	1348
401	904	1345
402	905	1341
403	907	1339
404	909	1336
405	911	1332
406	912	1329
407	914	1327
408	916	1324
409	918	1321
410	919	1317
411	921	1314
412	923	1312
413	925	1309
414	927	1306
415	929	1304
416	931	1301
417	932	1298
418	934	1295
419	936	1293
420	938	1290
421	940	1288
422	942	1285
423	943	1282
424	945	1279
425	947	1276
426	949	1274
427	951	1271
428	953	1269
429	955	1267
430	957	1264
431	958	1260
432	960	1258
433	962	1255
434	964	1252
435	966	1249
436	968	1247
437	969	1244
438	971	1241
439	973	1239
440	975	1236
441	976	1233
442	978	1230
443	980	1227
444	981	1224
445	983	1221
446	985	1218
447	986	1215
448	988	1213
449	990	1210
450	992	1208
451	994	1205
452	996	1202
453	997	1199
454	999	1197
455	1001	1194
456	1003	1191
457	1004	1189
458	1006	1186
459	1008	1183
460	1010	1181
461	1012	1178
462	1014	1176
463	1015	1173
464	1017	1170
465	1019	1167
466	1020	1165
467	1027	1167
468	1029	1165
469	1038	1171
470	1048	1178
471	1050	1175
472	1055	1175
473	1058	1174
474	1059	1171
475	1061	1168
476	1063	1165
477	1064	1162
478	1066	1160
479	1068	1157
480	1070	1154
481	1072	1152
482	1073	1149
483	1075	1146
484	1077	1143
485	1078	1140
486	1080	1138
487	1082	1135
488	1084	1133
489	1085	1130
490	1087	1127
491	1089	1124
492	1090	1121
493	1092	1119
494	1094	1116
495	1096	1113
496	1097	1111
497	1099	1108
498	1101	1105
499	1103	1103
500	1104	1100
501	1106	1097
502	1107	1094
503	1109	1092
504	1111	1089
505	1112	1086
506	1114	1084
507	1116	1081
508	1118	1078
509	1120	1076
510	1121	1073
